Run Order,Sample Name
1,QC01
2,QC02
3,QC03
4,QC04
5,Equil-01
6,Equil-02
7,Equil-03
8,Equil-04
9,Equil-05
10,Equil-06
11,Equil-07
12,Equil-08
13,Equil-09
14,TZR03
15,TZR08
16,TZR07
17,TZR04
18,TZR09
19,TZR10
20,TZR01
21,TZR12
22,QC06
23,Batch 1 Pool
24,Batch 1 Pool
25,Batch 1 Pool
26,Batch 1 Pool
27,Batch 1 Pool
28,Batch 1 Pool
29,QC07
30,HADT01
31,TZR13
32,TZR06
33,TZR11
34,TRPR01
35,TZR02
36,TZR05
37,TZR14
38,QC08
39,TZR26
40,TZR21
41,TZR20
42,TZR27
43,TZR24
44,TZR16
45,TZR22
46,TZR17
47,QC09
48,Batch 2 Pool
49,Batch 2 Pool
50,Batch 2 Pool
51,Batch 2 Pool
52,Batch 2 Pool
53,Batch 2 Pool
54,QC10
55,TZR15
56,TZR25
57,TZR18
58,HADT02
59,TZR23
60,TZR19
61,TZR28
62,TRPR02
63,QC11
64,TZR35
65,TZR37
66,TZR33
67,TRPR03
68,TZR39
69,TZR32
70,TZR42
71,HADT03
72,QC12
73,Batch 3 Pool
74,Batch 3 Pool
75,Batch 3 Pool
76,Batch 3 Pool
77,Batch 3 Pool
78,Batch 3 Pool
79,QC13
80,TZR30
81,TZR29
82,TZR38
83,TZR40
84,TZR41
85,TZR34
86,TZR36
87,TZR31
88,QC14
89,TRPR05
90,TZR48
91,TZR57
92,HADTP05
93,TZR46
94,TZR50
95,TZR47
96,TRPR04
97,QC15
98,HADT04
99,TZR51
100,TZR55
101,TZR45
102,TZR61
103,TZR44
104,TZR54
105,TZR43
106,QC16
107,Batch 4 and 5 Pool
108,Batch 4 and 5 Pool
109,Batch 4 and 5 Pool
110,Batch 4 and 5 Pool
111,Batch 4 and 5 Pool
112,Batch 4 and 5 Pool
113,QC17
114,TZR49
115,TZR58
116,TZR59
117,TZR53
118,TZR60
119,TZR56
120,TZR52
121,TZR62
122,QC18
